name,year,wins,losses,ot_losses,pct,gf,diff
Boston Bruins,1990,44,24,,0.55,299,35
Buffalo Sabres,1990,31,30,,0.388,292,14
Calgary Flames,1990,46,26,,0.575,344,81
Chicago Blackhawks,1990,49,23,,0.613,284,73
Detroit Red Wings,1990,34,38,,0.425,273,-25
Edmonton Oilers,1990,37,37,,0.463,272,0
Hartford Whalers,1990,31,38,,0.388,238,-38
Los Angeles Kings,1990,46,24,,0.575,340,86
Minnesota North Stars,1990,27,39,,0.338,256,-10
Montreal Canadiens,1990,39,30,,0.487,273,24
New Jersey Devils,1990,32,33,,0.4,272,8
New York Islanders,1990,25,45,,0.312,223,-67
New York Rangers,1990,36,31,,0.45,297,32
Philadelphia Flyers,1990,33,37,,0.412,252,-15
Pittsburgh Penguins,1990,41,33,,0.512,342,37
Quebec Nordiques,1990,16,50,,0.2,236,-118
St. Louis Blues,1990,47,22,,0.588,310,60
Toronto Maple Leafs,1990,23,46,,0.287,241,-77
Vancouver Canucks,1990,28,43,,0.35,243,-72
Washington Capitals,1990,37,36,,0.463,258,0
Winnipeg Jets,1990,26,43,,0.325,260,-28
Boston Bruins,1991,36,32,,0.45,270,-5
Buffalo Sabres,1991,31,37,,0.388,289,-10
Calgary Flames,1991,31,37,,0.388,296,-9
Chicago Blackhawks,1991,36,29,,0.45,257,21
Detroit Red Wings,1991,43,25,,0.537,320,64
Edmonton Oilers,1991,36,34,,0.45,295,-2
Hartford Whalers,1991,26,41,,0.325,247,-36
Los Angeles Kings,1991,35,31,,0.438,287,-9
Minnesota North Stars,1991,32,42,,0.4,246,-32
Montreal Canadiens,1991,41,28,,0.512,267,60
New Jersey Devils,1991,38,31,,0.475,289,30
New York Islanders,1991,34,35,,0.425,291,-8
New York Rangers,1991,50,25,,0.625,321,75
Philadelphia Flyers,1991,32,37,,0.4,252,-21
Pittsburgh Penguins,1991,39,32,,0.487,343,35
Quebec Nordiques,1991,20,48,,0.25,255,-63
San Jose Sharks,1991,17,58,,0.212,219,-140
St. Louis Blues,1991,36,33,,0.45,279,13
Toronto Maple Leafs,1991,30,43,,0.375,234,-60
Vancouver Canucks,1991,42,26,,0.525,285,35
Washington Capitals,1991,45,27,,0.562,330,55
Winnipeg Jets,1991,33,32,,0.412,251,7
Boston Bruins,1992,51,26,,0.607,332,64
Buffalo Sabres,1992,38,36,,0.452,335,38
Calgary Flames,1992,43,30,,0.512,322,40
Chicago Blackhawks,1992,47,25,,0.56,279,49
Detroit Red Wings,1992,47,28,,0.56,369,89
Edmonton Oilers,1992,26,50,,0.31,242,-95
Hartford Whalers,1992,26,52,,0.31,284,-85
Los Angeles Kings,1992,39,35,,0.464,338,-2
Minnesota North Stars,1992,36,38,,0.429,272,-21
Montreal Canadiens,1992,48,30,,0.571,326,46
New Jersey Devils,1992,40,37,,0.476,308,9
New York Islanders,1992,40,37,,0.476,335,38
New York Rangers,1992,34,39,,0.405,304,-4
Ottawa Senators,1992,10,70,,0.119,202,-193
Philadelphia Flyers,1992,36,37,,0.429,319,0
Pittsburgh Penguins,1992,56,21,,0.667,367,99
Quebec Nordiques,1992,47,27,,0.56,351,51
San Jose Sharks,1992,11,71,,0.131,218,-196
St. Louis Blues,1992,37,36,,0.44,282,4
Tampa Bay Lightning,1992,23,54,,0.274,245,-87
Toronto Maple Leafs,1992,44,29,,0.524,288,47
Vancouver Canucks,1992,46,29,,0.548,346,68
Washington Capitals,1992,43,34,,0.512,325,39
Winnipeg Jets,1992,40,37,,0.476,322,2
Mighty Ducks of Anaheim,1993,33,46,,0.393,229,-22
Boston Bruins,1993,42,29,,0.5,289,37
Buffalo Sabres,1993,43,32,,0.512,282,64
Calgary Flames,1993,42,29,,0.5,302,46
Chicago Blackhawks,1993,39,36,,0.464,254,14
Dallas Stars,1993,42,29,,0.5,286,21
Detroit Red Wings,1993,46,30,,0.548,356,81
Edmonton Oilers,1993,25,45,,0.298,261,-44
Florida Panthers,1993,33,34,,0.393,233,0
Hartford Whalers,1993,27,48,,0.321,227,-61
Los Angeles Kings,1993,27,45,,0.321,294,-28
Montreal Canadiens,1993,41,29,,0.488,283,35
New Jersey Devils,1993,47,25,,0.56,306,86
New York Islanders,1993,36,36,,0.429,282,18
New York Rangers,1993,52,24,,0.619,299,68
Ottawa Senators,1993,14,61,,0.167,201,-196
Philadelphia Flyers,1993,35,39,,0.417,294,-20
Pittsburgh Penguins,1993,44,27,,0.524,299,14
Quebec Nordiques,1993,34,42,,0.405,277,-15
San Jose Sharks,1993,33,35,,0.393,252,-13
St. Louis Blues,1993,40,33,,0.476,270,-13
Tampa Bay Lightning,1993,30,43,,0.357,224,-27
Toronto Maple Leafs,1993,43,29,,0.512,280,37
Vancouver Canucks,1993,41,40,,0.488,279,3
Washington Capitals,1993,39,35,,0.464,277,14
Winnipeg Jets,1993,24,51,,0.286,245,-99
Mighty Ducks of Anaheim,1994,16,27,,0.333,125,-39
Boston Bruins,1994,27,18,,0.562,150,23
Buffalo Sabres,1994,22,19,,0.458,130,11
Calgary Flames,1994,24,17,,0.5,163,28
Chicago Blackhawks,1994,24,19,,0.5,156,41
